freq baseline nonperiodic diff
6.000000000 0.201098620042 0.168846863007 0.0322517570343
6.018000000 0.205420854699 0.172676921739 0.03274393296
6.036000000 0.2098258728 0.176588517709 0.0332373550905
6.054000000 0.214313985739 0.180582472699 0.0337315130399
6.072000000 0.218885380603 0.184659510534 0.0342258700697
6.090000000 0.223540109543 0.188820245344 0.0347198641985
6.108000000 0.22827807877 0.193065169085 0.0352129096846
6.126000000 0.233099037235 0.197394638314 0.035704398921
6.144000000 0.238002565025 0.201808860245 0.03619370478
6.162000000 0.242988061546 0.206307878105 0.036680183441
6.180000000 0.248054733559 0.21089155582 0.0371631777385
6.198000000 0.253201583162 0.215559562104 0.0376420210576
6.216000000 0.258427395803 0.220311353999 0.0381160418048
6.234000000 0.263730728438 0.225146159967 0.0385845684705
6.252000000 0.269109897951 0.230062962655 0.0390469352964
6.270000000 0.274562969987 0.235060481441 0.0395024885462
6.288000000 0.28008774832 0.240137154949 0.0399505933704
6.306000000 0.285681764936 0.245291123699 0.0403906412368
6.324000000 0.291342271003 0.250520213116 0.0408220578876
6.342000000 0.297066228899 0.255821917139 0.0412443117601
6.360000000 0.302850305493 0.2611933827 0.0416569227926
6.378000000 0.308690866891 0.266631395379 0.0420594715114
6.396000000 0.314583974825 0.272132366551 0.0424516082745
6.414000000 0.320525384914 0.277692322391 0.0428330625221
6.432000000 0.326510546967 0.283306895107 0.0432036518603
6.450000000 0.332534607557 0.288971316773 0.0435632907841
6.468000000 0.338592415013 0.294680416193 0.0439119988194
6.486000000 0.344678527016 0.300428619165 0.0442499078511
6.504000000 0.350787220941 0.306209952553 0.0445772683876
6.522000000 0.356912507046 0.312018052545 0.0448944545015
6.540000000 0.363048144617 0.317846177427 0.0452019671903
6.558000000 0.369187661086 0.323687225185 0.0455004359005
6.576000000 0.375324374149 0.329533756172 0.0457906179776
6.594000000 0.381451416834 0.335378021005 0.0460733958296
6.612000000 0.38756176541 0.341211993785 0.0463497716248
6.630000000 0.393648270016 0.347027410622 0.0466208593947
6.648000000 0.399703687788 0.352815813322 0.0468878744658
6.666000000 0.405720718229 0.358568598015 0.0471521202134
6.684000000 0.411692040529 0.364277068327 0.0474149722022
6.702000000 0.417610352453 0.369932492593 0.0476778598595
6.720000000 0.4234684104 0.37552616449 0.0479422459099
6.738000000 0.429259070195 0.381049466312 0.0482096038827
6.756000000 0.434975328122 0.38649393404 0.0484813940821
6.774000000 0.440610361708 0.391851323225 0.0487590384838
6.792000000 0.446157569736 0.397113674654 0.0490438950818
6.810000000 0.451610610975 0.40227337872 0.049337232255
6.828000000 0.456963441124 0.407323237371 0.0496402037536
6.846000000 0.462210347478 0.412256522565 0.0499538249133
6.864000000 0.467345980858 0.417067030164 0.0502789506938
6.882000000 0.472365384407 0.421749128303 0.0506162561035
6.900000000 0.477264018879 0.426297799361 0.0509662195172
6.918000000 0.482037784128 0.430708674808 0.0513291093194
6.936000000 0.48668303656 0.434978062348 0.0517049742126
6.954000000 0.491196602391 0.439102964963 0.0520936374281
6.972000000 0.495575786606 0.443081091646 0.0524946949599
6.990000000 0.499818377624 0.446910859796 0.052907517828
7.008000000 0.503922647708 0.450591389451 0.0533312582571
7.026000000 0.507887349252 0.454122489705 0.053764859547
7.044000000 0.511711707126 0.457504637818 0.0542070693079
7.062000000 0.515395407327 0.460738951682 0.054656455645
7.080000000 0.518938582232 0.46382715643 0.0551114258015
7.098000000 0.522341792768 0.466771546051 0.0555702467177
7.116000000 0.525606007886 0.469574940966 0.0560310669201
7.134000000 0.528732581695 0.472240642552 0.0564919391439
7.152000000 0.531723228676 0.474772385596 0.05695084308
7.170000000 0.534579997358 0.477174289695 0.0574057076632
7.188000000 0.537305242855 0.479450810521 0.0578544323342
7.206000000 0.539901598651 0.481606691901 0.0582949067501
7.224000000 0.542371947984 0.483646919524 0.0587250284593
7.242000000 0.544719395174 0.48557667707 0.0591427181047
7.260000000 0.546947237214 0.487401305458 0.0595459317561
7.278000000 0.549058935879 0.489126265854 0.059932670025
7.296000000 0.551058090635 0.490757106997 0.0603009836381
7.314000000 0.552948412523 0.492299437357 0.0606489751657
7.332000000 0.554733699224 0.493758902609 0.0609747966151
7.350000000 0.55641781144 0.495141168872 0.0612766425675
7.368000000 0.55800465069 0.496451912177 0.0615527385127
7.386000000 0.559498138633 0.497696814687 0.0618013239459
7.404000000 0.560902197939 0.498881568247 0.0620206296925
7.422000000 0.562220734756 0.500011885997 0.0622088487592
7.440000000 0.563457622775 0.501093522988 0.062364099787
7.458000000 0.564616688868 0.502132306989 0.0624843818787
7.476000000 0.56570170028 0.503134181117 0.0625675191629
7.494000000 0.566716353322 0.504105260424 0.062611092898
7.512000000 0.567664263499 0.505051905325 0.0626123581738
7.530000000 0.568548957018 0.505980815775 0.0625681412428
7.548000000 0.569373863592 0.506899151475 0.0624747121173
7.566000000 0.57014231046 0.507814685338 0.0623276251218
7.584000000 0.570857517542 0.508736000173 0.0621215173692
7.602000000 0.571522593639 0.509672742373 0.0618498512658
7.620000000 0.572140533601 0.510635952031 0.0615045815692
7.638000000 0.572714216365 0.511638496984 0.0610757193802
7.656000000 0.573246403794 0.512695650462 0.060550753332
7.674000000 0.573739740227 0.513825870364 0.0599138698629
7.692000000 0.574196752667 0.515051866536 0.0591448861307
7.710000000 0.574619851535 0.516402087192 0.0582177643432
7.728000000 0.575011331923 0.517912827987 0.0570985039358
7.746000000 0.575373375269 0.519631287366 0.0557420879036
7.764000000 0.57570805142 0.521620097177 0.0540879542424
7.782000000 0.576017320994 0.523964220431 0.0520531005635
7.800000000 0.576303038026 0.526781773502 0.0495212645239
7.818000000 0.576566952818 0.53024160242 0.0463253503983
7.836000000 0.576810714978 0.53459299248 0.0422177224971
7.854000000 0.577035876591 0.540218274484 0.0368176021069
