freq original repeat narrow
9.2 0.667939112689 0.665439323643 0.631583681865
9.20875 0.675832631063 0.67349152379 0.639224592115
9.2175 0.684369025611 0.682224956661 0.647656946554
9.22625 0.693756977666 0.691872976311 0.656997309072
9.235 0.704046578845 0.702489381961 0.667374998695
9.24375 0.715253277016 0.714107946111 0.678947058003
9.2525 0.727682771176 0.727062721594 0.691884148647
9.26125 0.741013436258 0.741025129212 0.706389347094
9.27 0.755869159825 0.756692760445 0.722664900048
9.27875 0.771384158784 0.773122837737 0.7408973604
9.2875 0.788337576783 0.791216433703 0.761200582959
9.29625 0.805160779994 0.809174629102 0.783488175791
9.305 0.821607807152 0.826741667309 0.807206579045
9.31375 0.836086540894 0.841954770187 0.830807130549
9.3225 0.842692100966 0.847752131751 0.850830640211
9.33125 0.844738318354 0.848081154202 0.860471691702
9.34 0.819428479632 0.815600141979 0.848473831159
9.34875 0.78959891816 0.778152642578 0.801124314206
9.3575 0.711558980688 0.687729279952 0.710835920394
9.36625 0.632643709755 0.596620662492 0.58629815417
9.375 0.523967101153 0.482213380697 0.449487837335
9.38375 0.415290492551 0.367806098903 0.320959935574
9.3925 0.318339644193 0.273001043641 0.211111841149
9.40125 0.221733671136 0.178772524454 0.122426545342
9.41 0.150669186195 0.11472973736 0.0568144852
9.41875 0.081999215764 0.0535168626497 0.0406494148925
9.4275 0.0629080802758 0.0567330307869 0.0746860187532
9.43625 0.0520800839447 0.0706873727321 0.110829134966
9.445 0.0750775005073 0.097726428419 0.142187957605
9.45375 0.106531270293 0.128036662541 0.168901140878
9.4625 0.132894749336 0.152697631959 0.191655470292
9.47125 0.15749620466 0.175403086671 0.211179414677
9.48 0.177905785648 0.194182091729 0.228011632505
9.48875 0.196394090899 0.211161474029 0.242619128958
9.4975 0.212113951431 0.225578685058 0.255364797052
9.50625 0.226197912812 0.238481885791 0.266523673301
9.515 0.238446602215 0.249685884137 0.276340648238
9.52375 0.249318837635 0.259615480693 0.284995531563
9.5325 0.258948965456 0.268389863397 0.292636362414
9.54125 0.267405991654 0.276073210798 0.299374662898
9.55 0.275002519291 0.282950382993 0.305311768679
9.55875 0.281577204886 0.288870222131 0.310521306883
9.5675 0.287541432842 0.294212353016 0.315055128704
9.57625 0.29258997434 0.29868792152 0.318965908107
9.585 0.297195065662 0.302738313582 0.322274351041
9.59375 0.300950210814 0.305973784128 0.324999552458
9.6025 0.304375964469 0.308888307819 0.327133670714
9.61125 0.306978239386 0.311000464375 0.328671869114
9.62 0.309331782704 0.312865685223 0.329582312322
9.62875 0.310845856879 0.313897498059 0.329799313405
9.6375 0.312172317783 0.314739241968 0.32926205019
9.64625 0.312591981212 0.314662319397 0.32783408083
9.655 0.312877096645 0.3144463062 0.325350141884
9.66375 0.312119465116 0.313152340645 0.321574476115
9.6725 0.311284365743 0.311776792494 0.31614936209
9.68125 0.309171046945 0.309055131508 0.308560290214
9.69 0.307057728148 0.306333470523 0.298017662643
9.69875 0.30327666693 0.30182767314 0.283295173143
9.7075 0.299495605713 0.297321875758 0.262405654426
9.71625 0.293655205776 0.290585931648 0.232093278846
9.725 0.287689997432 0.28371482713 0.187144144892
9.73375 0.279037221329 0.273909013332 0.122723522574
9.7425 0.27003766229 0.263724527369 0.0883294961436
9.75125 0.257345730147 0.249494479615 0.218700024905
9.76 0.243889858742 0.234427419077 0.380994836685
9.76875 0.225132189413 0.213580061715 0.478317071771
9.7775 0.204803616996 0.191020023813 0.514245679015
9.78625 0.176751287055 0.160293359688 0.522161493681
9.795 0.145609454105 0.126300045076 0.520481903604
9.80375 0.107185060692 0.0912285168848 0.516222751581
9.8125 0.0649610705145 0.0555944424793 0.51172080239
9.82125 0.0759437357518 0.0805202657138 0.507721167443
9.83 0.122397504599 0.145819354042 0.504432676562
9.83875 0.19586888826 0.225830237209 0.501832944621
9.8475 0.292091947554 0.318230000241 0.499872774664
9.85625 0.3802061971 0.400472620914 0.498459405069
9.865 0.459734648091 0.471960620265 0.497533340757
9.87375 0.521576690016 0.527608149414 0.497036396624
9.8825 0.559836853186 0.56213505163 0.496905057545
9.89125 0.588169970109 0.588076444435 0.497121247144
9.9 0.599703470309 0.599488513624 0.49763983117
