band,fmin_ghz,fmax_ghz,points,step_ghz,narrow_max_jump,narrow_max_jump_left_ghz,narrow_max_jump_right_ghz,narrow_mag_min,narrow_mag_max,orig_top_jump_in_band,orig_top_jump_mid_ghz,repeat_jump_at_orig_top_mid,narrow_jump_near_orig_top_mid
nb_7p8_8p4,7.8,8.4,81,0.007500000000000284,0.21502107849400126,8.1225,8.13,0.13315219205104217,0.7080040532790529,0.33022205947918926,8.295,0.25334492693786026,0.0018591710185555943
nb_9p2_9p9,9.2,9.9,81,0.008749999999999147,0.16229481177938537,9.75125,9.76,0.04064941489252352,0.8604716917024112,0.22356330912434735,9.375,0.23535212254847448,0.13681031683491485
nb_20p3_22p4,20.3,22.4,81,0.026250000000000995,0.2616099844317024,20.536250000000003,20.5625,0.017628642023527527,0.8739799957220765,0.18567334774517824,20.427,0.0958492157568272,0.13569219696622822
