band,rank,left_ghz,right_ghz,mid_ghz,mag_jump,phase_jump_deg,orig_nearest_freq_ghz,orig_nearest_mag,repeat_nearest_freq_ghz,repeat_nearest_mag
nb_7p8_8p4,1,8.1225,8.13,8.12625,0.21502107849400126,10.285297128473076,8.123999999999999,0.3853202425108719,8.123999999999999,0.36745229153640835
nb_7p8_8p4,2,7.897500000000001,7.905,7.901250000000001,0.21491809392836114,13.82685329351446,7.9079999999999995,0.5734181059792792,7.9079999999999995,0.5593299545957732
nb_7p8_8p4,3,8.13,8.137500000000001,8.133750000000001,0.15364437763989958,17.77401477863087,8.142,0.3814806434567461,8.142,0.36039506870285126
nb_7p8_8p4,4,8.115,8.1225,8.11875,0.15308516820015694,20.910208519676445,8.123999999999999,0.3853202425108719,8.123999999999999,0.36745229153640835
nb_7p8_8p4,5,7.905,7.9125000000000005,7.90875,0.14791154588315253,25.652908908815704,7.9079999999999995,0.5734181059792792,7.9079999999999995,0.5593299545957732
nb_7p8_8p4,6,7.890000000000001,7.897500000000001,7.893750000000001,0.06285714657427577,16.629119301999708,7.89,0.5581716784094829,7.89,0.5458169589286429
nb_7p8_8p4,7,8.100000000000001,8.1075,8.103750000000002,0.061437857452452005,15.258627630214988,8.106,0.38562658688008244,8.106,0.37033887390177644
nb_7p8_8p4,8,7.920000000000001,7.9275,7.92375,0.053488559453818835,6.015354039114953,7.926,0.5970715421137225,7.926,0.5805264768750926
nb_7p8_8p4,9,8.137500000000001,8.145000000000001,8.141250000000001,0.05310123689395296,15.133676250013465,8.142,0.3814806434567461,8.142,0.36039506870285126
nb_7p8_8p4,10,8.092500000000001,8.100000000000001,8.096250000000001,0.05098388504410861,2.8060187955251195,8.088,0.382030806283749,8.088,0.36889700164860323
nb_7p8_8p4,11,8.085,8.092500000000001,8.088750000000001,0.037701583608197975,0.12599933809505615,8.088,0.382030806283749,8.088,0.36889700164860323
nb_7p8_8p4,12,7.9125000000000005,7.920000000000001,7.916250000000001,0.03722134704378152,26.690320109709432,7.9079999999999995,0.5734181059792792,7.9079999999999995,0.5593299545957732
nb_7p8_8p4,13,7.9275,7.9350000000000005,7.93125,0.036614537638974376,0.7349188261370045,7.926,0.5970715421137225,7.926,0.5805264768750926
nb_7p8_8p4,14,8.0775,8.085,8.08125,0.02799243503680371,0.9501996928258905,8.088,0.382030806283749,8.088,0.36889700164860323
nb_7p8_8p4,15,7.9350000000000005,7.942500000000001,7.938750000000001,0.024327739864091202,0.5726535374708135,7.944,0.6357342794833657,7.944,0.615858900205036
nb_7p8_8p4,16,8.07,8.0775,8.07375,0.0211633283447763,1.1888590725673396,8.07,0.3733720245205599,8.07,0.36209986162859553
nb_7p8_8p4,17,8.16,8.1675,8.16375,0.01865386128347568,5.118318115982021,8.16,0.3739161300588855,8.16,0.34864220505815763
nb_7p8_8p4,18,7.875000000000001,7.8825,7.87875,0.017771909861822532,5.842856179613847,7.872,0.5477311199089424,7.872,0.5366681816475279
nb_7p8_8p4,19,8.1675,8.175,8.17125,0.016947048910294416,3.8144417487949056,8.178,0.36186665977376237,8.178,0.33088095804268747
nb_7p8_8p4,20,7.942500000000001,7.950000000000001,7.946250000000001,0.016572730741210018,0.940024991729473,7.944,0.6357342794833657,7.944,0.615858900205036
nb_9p2_9p9,1,9.75125,9.76,9.755625,0.16229481177938537,12.432326990980414,9.762,0.24081423099215052,9.762,0.2309835195254662
