rank,frequency_left_ghz,frequency_right_ghz,frequency_mid_ghz,target_magnitude_jump,target_phase_jump_deg,channel,channel_magnitude_jump,channel_phase_jump_deg
1,8.286,8.304,8.295,0.33022205947918926,14.219252285600628,SZmax_1__Zmin_1_,0.004623052291025803,4.232807494527933
1,8.286,8.304,8.295,0.33022205947918926,14.219252285600628,SZmax_2__Zmax_1_,0.01040910347235543,14.603141762516842
1,8.286,8.304,8.295,0.33022205947918926,14.219252285600628,SZmax_2__Zmin_1_,0.33022205947918926,14.219252285600628
1,8.286,8.304,8.295,0.33022205947918926,14.219252285600628,SZmax_2__Zmin_2_,0.020527926310712465,19.998565985498885
1,8.286,8.304,8.295,0.33022205947918926,14.219252285600628,SZmin_2__Zmin_1_,0.011487916693820386,17.37928111756108
2,7.9799999999999995,7.997999999999999,7.988999999999999,0.3101700625176558,46.7702205450513,SZmax_1__Zmin_1_,0.010458999430569146,5.572295432136627
2,7.9799999999999995,7.997999999999999,7.988999999999999,0.3101700625176558,46.7702205450513,SZmax_2__Zmax_1_,0.010466273614097238,41.44058014901883
2,7.9799999999999995,7.997999999999999,7.988999999999999,0.3101700625176558,46.7702205450513,SZmax_2__Zmin_1_,0.3101700625176558,46.7702205450513
2,7.9799999999999995,7.997999999999999,7.988999999999999,0.3101700625176558,46.7702205450513,SZmax_2__Zmin_2_,0.0017296617991577265,21.032885262343
2,7.9799999999999995,7.997999999999999,7.988999999999999,0.3101700625176558,46.7702205450513,SZmin_2__Zmin_1_,0.012263514884452513,50.49098690678956
3,9.366,9.384,9.375,0.22356330912434735,18.825220416616446,SZmax_1__Zmin_1_,0.011775823180451402,1.8513524209681833
3,9.366,9.384,9.375,0.22356330912434735,18.825220416616446,SZmax_2__Zmax_1_,0.006894587002545614,17.394391906013
3,9.366,9.384,9.375,0.22356330912434735,18.825220416616446,SZmax_2__Zmin_1_,0.22356330912434735,18.825220416616446
3,9.366,9.384,9.375,0.22356330912434735,18.825220416616446,SZmax_2__Zmin_2_,0.0013739348816912307,12.771866253358496
3,9.366,9.384,9.375,0.22356330912434735,18.825220416616446,SZmin_2__Zmin_1_,0.007240806586186385,18.321689691774935
4,7.962,7.9799999999999995,7.971,0.21976160596464006,39.321459761699614,SZmax_1__Zmin_1_,0.008141113345446115,12.097298712995837
4,7.962,7.9799999999999995,7.971,0.21976160596464006,39.321459761699614,SZmax_2__Zmax_1_,0.0066037447754307855,38.77169059478341
4,7.962,7.9799999999999995,7.971,0.21976160596464006,39.321459761699614,SZmax_2__Zmin_1_,0.21976160596464006,39.321459761699614
4,7.962,7.9799999999999995,7.971,0.21976160596464006,39.321459761699614,SZmax_2__Zmin_2_,0.01649599407518781,3.100383451815702
4,7.962,7.9799999999999995,7.971,0.21976160596464006,39.321459761699614,SZmin_2__Zmin_1_,0.007257098960238639,42.72550825025667
5,9.384,9.402,9.393,0.19873228743033358,11.41688185487618,SZmax_1__Zmin_1_,0.007321162424602408,6.703066550952855
5,9.384,9.402,9.393,0.19873228743033358,11.41688185487618,SZmax_2__Zmax_1_,0.006087310097289458,8.625589380979932
5,9.384,9.402,9.393,0.19873228743033358,11.41688185487618,SZmax_2__Zmin_1_,0.19873228743033358,11.41688185487618
5,9.384,9.402,9.393,0.19873228743033358,11.41688185487618,SZmax_2__Zmin_2_,0.0029625253543995034,8.970928756444664
5,9.384,9.402,9.393,0.19873228743033358,11.41688185487618,SZmin_2__Zmin_1_,0.006380569026570394,10.184566373101546
6,9.834,9.852,9.843,0.1979445791190263,12.309691254949982,SZmax_1__Zmin_1_,0.011855207575802749,53.88657175398032
6,9.834,9.852,9.843,0.1979445791190263,12.309691254949982,SZmax_2__Zmax_1_,0.006068181072169102,12.39666136352345
6,9.834,9.852,9.843,0.1979445791190263,12.309691254949982,SZmax_2__Zmin_1_,0.1979445791190263,12.309691254949982
