frequency_ghz,real,imag,magnitude,phase_deg,phase_unwrapped_deg
6.0,-0.00048198559670710987,0.1688461750745773,0.16884686300737198,90.16355517354921,90.16355517354921
6.018,0.0031223282576794643,0.17264869060485777,0.17267692173918495,88.9639265075661,88.9639265075661
6.036,0.006928455886506821,0.17645254627194984,0.17658851770946454,87.7514211830585,87.7514211830585
6.054,0.010943282528739851,0.1802505867218874,0.1805824726990094,86.52575196222759,86.52575196222759
6.072,0.015173660264123711,0.18403503705735028,0.18465951053360705,85.28663302541226,85.28663302541226
6.09,0.019626370854417454,0.187797472344313,0.18882024534415828,84.03378075354566,84.03378075354566
6.108,0.024308084139433483,0.19152878780837743,0.1930651690851466,82.76691459273202,82.76691459273202
6.126,0.029225311719828145,0.19521917013962375,0.19739463831402437,81.4857580059904,81.4857580059904
6.144,0.03438435568057574,0.19885807038674444,0.20180886024530179,80.19003951596466,80.19003951596466
6.162,0.03979125213320021,0.2024341789858983,0.2063078781046003,78.87949384302419,78.87949384302419
6.18,0.04545170939484469,0.20593540353538534,0.21089155582003613,77.55386314179475,77.55386314179475
6.198,0.051371040667019016,0.20934884999779726,0.2155595621043352,76.21289833962891,76.21289833962891
6.216,0.057554091140909557,0.21266080808089347,0.2203113539985507,74.85636057890929,74.85636057890929
6.234,0.06400515952962398,0.21585674161701524,0.22514615996709225,73.48402276460136,73.48402276460136
6.252,0.07072791411671529,0.21892128482678047,0.2300629626548128,72.0956712176955,72.0956712176955
6.27,0.07772530352088604,0.2218382454129474,0.2350604814410728,70.69110743291442,70.69110743291442
6.288,0.08499946249453885,0.22459061548224482,0.2401371549491125,69.27014993907596,69.27014993907596
6.306,0.09255161322342895,0.22716059133408026,0.2452911236989798,67.8326362569378,67.8326362569378
6.324,0.10038196274520059,0.22952960317792795,0.25052021311582007,66.37842494933747,66.37842494933747
6.342,0.10848959728903854,0.23167835584837454,0.2558219171387468,64.90739775453955,64.90739775453955
6.36,0.1168723745244341,0.23358688156558374,0.26119338270046893,63.419461792512784,63.419461792512784
6.378,0.12552681491666992,0.23523460574235172,0.2666313953792455,61.9145518303527,61.9145518303527
6.396,0.13444799359814522,0.2366004267578579,0.27213236655085216,60.392632591014205,60.392632591014205
6.414,0.14362943438706885,0.23766281049587862,0.27769232239143604,58.85370108576892,58.85370108576892
6.432,0.1530630078050181,0.23839990028651956,0.283306895106599,57.297788947942536,57.297788947942536
6.45,0.16273883515181642,0.23878964267929315,0.2889713167729188,55.72496474276047,55.72496474276047
6.468,0.17264520089676919,0.23880992922223207,0.29468041619322666,54.13533622420296,54.13533622420296
6.486,0.18276847581104472,0.23843875411306922,0.30042861916482777,52.52905250689448,52.52905250689448
6.504,0.19309305339432206,0.23765438723772775,0.306209952552954,50.906306118928306,50.906306118928306
6.522,0.2036013022381858,0.23643556170916097,0.3120180525447391,49.26733489752455,49.26733489752455
6.54,0.2142735369836098,0.234761674583716,0.31784617742678134,47.61242368875802,47.61242368875802
6.558,0.22508801048386148,0.23261299895858606,0.3236872251851934,45.94190580990626,45.94190580990626
6.576,0.2360209296493243,0.22997090516889482,0.3295337561718558,44.25616423290113,44.25616423290113
6.594,0.247046497225331,0.22681808830336445,0.3353780210045052,42.555632446747275,42.555632446747275
6.612,0.25813698143044705,0.22313879877991102,0.3412119937853366,40.84079495821268,40.84079495821268
6.63,0.2692628149582049,0.21891907227018448,0.34702741062177606,39.11218739164557,39.11218739164557
6.648,0.28039272431750845,0.21414695486905783,0.3528158133217452,37.370396152388786,37.370396152388786
