sample_id,periodic_sample_id,micro_loop_role,perturbation_tier,status,periodic_Atheta,periodic_Pphi,periodic_project_dir,nonperiodic_project_dir,periodic_result_csv,nonperiodic_result_csv,corrected_label_output_csv,periodic_project_cst,nonperiodic_project_cst,periodic_project_status,nonperiodic_project_status
grid_05506_np_r04,grid_05506,low_perturbation_centered,low,corrected_label_complete,-22.5,110.0,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_05506,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_05506_np_r04,E:\aris\meta\cst_coupling_model1\data\raw\periodic\grid_05506_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\raw\nonperiodic\grid_05506_np_r04_five_cell_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\processed\grid_05506_np_r04_corrected_label.csv,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_05506\model1.cst,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_05506_np_r04\model1.cst,unit_cell_template_copy_prepared,corrected_label_complete
grid_05506_np_r03,grid_05506,medium_perturbation,medium,project_copies_prepared,-22.5,110.0,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_05506,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_05506_np_r03,E:\aris\meta\cst_coupling_model1\data\raw\periodic\grid_05506_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\raw\nonperiodic\grid_05506_np_r03_five_cell_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\processed\grid_05506_np_r03_corrected_label.csv,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_05506\model1.cst,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_05506_np_r03\model1.cst,unit_cell_template_copy_prepared,metadata_prepared_geometry_assembly_pending
grid_10770_np_r02,grid_10770,high_perturbation,high,project_copies_prepared,-44.5,50.0,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_10770,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_10770_np_r02,E:\aris\meta\cst_coupling_model1\data\raw\periodic\grid_10770_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\raw\nonperiodic\grid_10770_np_r02_five_cell_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\processed\grid_10770_np_r02_corrected_label.csv,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_10770\model1.cst,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_10770_np_r02\model1.cst,unit_cell_template_copy_prepared,metadata_prepared_geometry_assembly_pending
