sample_id,periodic_sample_id,micro_loop_role,perturbation_tier,status,periodic_Atheta,periodic_Pphi,periodic_project_dir,nonperiodic_project_dir,periodic_result_csv,nonperiodic_result_csv,corrected_label_output_csv
grid_05506_np_r04,grid_05506,low_perturbation_centered,low,corrected_label_complete,-22.5,110.0,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_05506,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_05506_np_r04,E:\aris\meta\cst_coupling_model1\data\raw\periodic\grid_05506_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\raw\nonperiodic\grid_05506_np_r04_five_cell_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\processed\grid_05506_np_r04_corrected_label.csv
grid_05506_np_r03,grid_05506,medium_perturbation,medium,queued_for_cst_project_generation,-22.5,110.0,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_05506,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_05506_np_r03,E:\aris\meta\cst_coupling_model1\data\raw\periodic\grid_05506_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\raw\nonperiodic\grid_05506_np_r03_five_cell_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\processed\grid_05506_np_r03_corrected_label.csv
grid_10770_np_r02,grid_10770,high_perturbation,high,queued_for_cst_project_generation,-44.5,50.0,E:\aris\meta\cst_coupling_model1\cst_projects\periodic\grid_10770,E:\aris\meta\cst_coupling_model1\cst_projects\nonperiodic\grid_10770_np_r02,E:\aris\meta\cst_coupling_model1\data\raw\periodic\grid_10770_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\raw\nonperiodic\grid_10770_np_r02_five_cell_szmax2_zmin1.csv,E:\aris\meta\cst_coupling_model1\data\processed\grid_10770_np_r02_corrected_label.csv
