sample_id,center_sample_id,sampling_stage,sampling_method,grid_index,repeat_id,neighbor_seed,center_Atheta,center_Pphi,L2_Atheta,L2_Pphi,L1_Atheta,L1_Pphi,C_Atheta,C_Pphi,R1_Atheta,R1_Pphi,R2_Atheta,R2_Pphi,periodic_sample_id,periodic_Atheta,periodic_Pphi,neighbor_contrast_mean,neighbor_contrast_max,center_distance_from_midrange,selected_for_micro_loop,micro_loop_role,perturbation_tier
grid_05506_np_r04,grid_05506,center_matched_grid_v1,center_matched_random_neighbors,5506,4,25816071,-22.5,110.0,-17.5,150.0,-28.5,81.0,-22.5,110.0,-12.5,133.0,-16.0,119.0,grid_05506,-22.5,110.0,0.270897,0.351364,0.0,yes,low_perturbation_centered,low
grid_05506_np_r03,grid_05506,center_matched_grid_v1,center_matched_random_neighbors,5506,3,25816070,-22.5,110.0,-4.0,81.0,-18.0,165.0,-22.5,110.0,-30.0,52.0,-2.0,104.0,grid_05506,-22.5,110.0,0.478887,0.511262,0.0,yes,medium_perturbation,medium
grid_10770_np_r02,grid_10770,center_matched_grid_v1,center_matched_random_neighbors,10770,2,31127445,-44.5,50.0,-20.0,135.0,-21.5,52.0,-44.5,50.0,-37.5,167.0,-1.5,170.0,grid_10770,-44.5,50.0,0.943813,1.383144,0.699294,yes,high_perturbation,high
